gautier_id,gautier_number,recipient,old_edition_numbers,conventional_title_or_incipit,gautier_pages,pg_location,gibi_page,source_packet,source_condition,translation_status,confidence,identification_confidence,notes
G001,1,[not recovered in local sources],[not recorded],[not recorded in local index],,"no Greek or reliable intermediary text recovered in the local PG126 OCR, GIBI 9.2 PDF/index, provided examples, or attached chat transcript",,,absent_or_not_recovered,incomplete_source_missing_no_translation,D,low,Known source gap: early Gautier letter not recovered locally; do not confuse with duplicate PG001/G008.
G002,2,[not recovered in local sources],[not recorded],[not recorded in local index],,"no Greek or reliable intermediary text recovered in the local PG126 OCR, GIBI 9.2 PDF/index, provided examples, or attached chat transcript",,,absent_or_not_recovered,incomplete_source_missing_no_translation,D,low,Known source gap: early Gautier letter not recovered locally; do not confuse with duplicate PG002/G044.
G003,3,[not recovered in local sources],[not recorded],[not recorded in local index],,"no Greek or reliable intermediary text recovered in the local PG126 OCR, GIBI 9.2 PDF/index, provided examples, or attached chat transcript",,,absent_or_not_recovered,incomplete_source_missing_no_translation,D,low,Known source gap: early Gautier letter not recovered locally; do not confuse with duplicate PG003/G045.
G004,4,the Lady Maria,Lami-Finetti I,До деспина госпожа Мария,,PG093 (PG marker 258),81,PG093,pg_ocr_not_collated,targeted_second_pass_revised_ocr_checked_needs_gautier_collation,C,medium,Targeted correction: meteorological phrase revised from 'bright wind' to 'that squall'; PG OCR still uncollated.
G005,5,the Grand Domestic,Lami-Finetti II,До Великия доместик,,PG094 (PG marker 260),84,PG094,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G006,6,"Mermentopoulos, probably the official associated with petitions",[not recorded],(До препозита за мобите),,PG006 (PG marker 167),85,PG006,pg_ocr_not_collated,targeted_second_pass_checked_no_material_change_needs_gautier_collation,C,medium,Targeted PG OCR check completed; no material semantic correction made.
G007,7,"Niketas, teacher of the Great Church, connected with Serres",Lami-Finetti III,"До учителя на Великата църква господин Никита, [племеник] на серския епископ",,PG095 (PG marker 262),87,PG095,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G008,8,"the sebastos John, brother-in-law of the emperor",Lami-Finetti IV; also Finetti II in the pre-Meursius series,"От същия до севаст Йоан, шурея на царя",,PG096 (PG marker 262),87,PG096,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G009,9,the Caesar,Lami-Finetti V,До кесаря,,PG097 (PG marker 263),88,PG097,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G010,10,the son of the sebastokrator,Lami-Finetti VI,До сина на севастократова,,PG098 (PG marker 264),90,PG098,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G011,11,"the sebastos John, son of the sebastokrator",Lami-Finetti VII,"До господин севаста Йоан, сина на севастократора",,PG099 (PG marker 264),90,PG099,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G012,12,the same addressee as G011,Lami-Finetti VIII,До същия,,PG100 (PG marker 265),92,PG100,pg_ocr_not_collated,targeted_second_pass_checked_localized_ocr_uncertainty,C,medium,Targeted PG OCR check completed; localized OCR uncertainty remains around representative/salve/fish-closing details.
G013,13,Caesar Melissenos,Lami-Finetti IX,До кесаря Мелисин,,PG101 (PG marker 266),93,PG101,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G014,14,the bishop of Cyprus (per GIBI; confirm in Gautier),Meursius XIV,До кипърския епископ,,PG035 (PG marker 198),94,PG035,pg_ocr_not_collated,targeted_second_pass_checked_metadata_revised_needs_gautier_collation,C,medium,Recipient metadata revised to bishop of Cyprus per GIBI; Gautier confirmation still required.
G015,15,Diabologyres,Lami-Finetti X,До Диавологир,,PG102 (PG marker 267),95,PG102,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G016,16,Tarchaneiotes,Lami-Finetti XI,До Тарханиот,,PG103 (PG marker 267),96,PG103,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G017,17,"John, brother-in-law of the emperor",Lami-Finetti XII,"До господин Йоан, шурея на царя",,PG104 (PG marker 268),97,PG104,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G018,18,"Taronitopoulos, doux of Skopje",Lami-Finetti XIII,"До Таронитопул, дука на Скопие",,PG105 (PG marker 269),98,PG105,pg_ocr_not_collated,terminology_revised_pending_clause_audit,C,medium,"Terminology normalized in v2: doux of Skopje, not modernized 'duke'."
G019,19,the son of the sebastokrator,[not recorded],(До сина на севастократора),,PG105 (PG marker 269),100,PG105,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G020,20,Tarchaneiotes,Lami-Finetti XIV,До Тарханиот,,PG106 (PG marker 270),100,PG106,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G021,21,the bishop of Pelagonia,Lami-Finetti XV,До пелагонийския [епископ],,PG107 (PG marker 271),101,PG107,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G022,22,the son of the sebastokrator,Lami-Finetti XVI,До сина на севастократора,,PG108 (PG marker 272),102,PG108,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G023,23,the same addressee as G022,Lami-Finetti XVII,До същия,,PG109 (PG marker 273),103,PG109,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G024,24,the same addressee as G022-G023,Lami-Finetti XVIII,До същия,,PG110 (PG marker 273),104,PG110,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G025,25,Mermentoulos,Lami-Finetti XIX,До Мерментопул,,PG111 (PG marker 274),105,PG111,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G026,26,"the sebastos, son of the sebastokrator",Lami-Finetti XX,"До севаста, сина на севастократора [Йоан Комнин]",,PG112 (PG marker 274),106,PG112,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G027,27,Kamateropoulos,Meursius XV,До Каматиропул,,PG036 (PG marker 199),107,PG036,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G028,28,Smyrnaios,Lami-Finetti XXI; also Meursius XVI,До Смирненски,,PG113 (PG marker 275),108,PG113,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
G029,29,Mermentoulos,Meursius XVIII,До Мерментул,,PG039 (PG marker 202),108,PG039,pg_ocr_not_collated,baseline_first_pass_copied_pending_clause_audit,C,medium,
