date,gautier_id,category,summary,evidence,source_urls
2026-08-18,ALL,workflow,Created and maintained revised_second_pass layer preserving first-pass 04_letters files.,Local project architecture; user preservation requirement; original first-pass files remain untouched.,
2026-08-18,ALL,workflow,"Added Gautier CFHB source layer, extracted both volumes, and built 135 per-letter Gautier source packets.",02_sources/gautier/CFHB_16_1_Theophylacti_Achridensis_Opera_Gautier_1980.pdf; 02_sources/gautier/CFHB_16_2_Theophylacti_Achridensis_Epistulae_Gautier_1986.pdf; 02_sources/gautier/letter_packets/G001-G135_gautier.txt.,https://archive.org/details/cfhb-11.1-nicetae-choniatae-historia; https://pinakes.irht.cnrs.fr/notices/bibliographie/3BQNCNMD/
2026-08-18,G134/G135,indexing_correction,Resolved local G134/G135 assignment: genuine G134 is the Demetrios/liturgy letter recovered from Gautier I; the Tivanios/Tigranes Armenian Christological excerpt belongs to G135.,"Gautier I, pp. 334-343 for G134; Gautier II, letter 135 and p. 592 cross-reference; local first-pass G134 matched G135.",https://archive.org/details/cfhb-11.1-nicetae-choniatae-historia; https://pinakes.irht.cnrs.fr/notices/bibliographie/3BQNCNMD/
2026-08-18,G001-G003,source_recovery,Recovered and translated Gautier G001-G003 from Gautier I; earlier local PG001-PG003 packets were old-edition duplicate packets for later Gautier letters.,"Gautier I packets G001-G003; local PG001 matched G008, PG002 matched G044, and PG003 matched G045 by heading/opening.",
2026-08-18,G005/G006/G047,indexing_correction,Repaired early-letter boundary: G005 ends with the Heracles/Omphale appeal; G006 is the Achrida headless-necks/eagle/frogs/gout letter; old local G006 duplicated G047.,"Gautier II packets G005, G006, and G047.",
2026-08-18,G062/G063,boundary_correction,Separated two mutilated Gautier fragments formerly merged locally; G062 is only the tiny opening fragment and G063 is the following mutilated consolation fragment.,Gautier II packets G062-G063 and apparatus notes on lacunae/mutilation.,
2026-08-18,G125,source_recovery,Recovered and translated complete short anepigraphic G125 from Gautier after local PG084 failed.,"Gautier II, letter 125; Chisianus-only note.",
2026-08-18,G004/G018/G104/G105/G123/G126,technical_terminology,"Standardized key technical terms including doux, praktor, aer, kanonikon, episkepititai, and fiscal/property vocabulary where audited.",Gautier packets and project authority-list policy.,
2026-08-18,G004/G019/G023/G069/G091/G093/G102/G109/G114/G128/G131/G133/G135,translation_correction,"Recorded targeted Gautier corrections from the first recovery pass, including a meteorological correction, fiscal terms, lost/inserted negatives, Homeric/classical phrasing, and restored omitted clauses.",Per-letter translation_v2 notes and Gautier packets.,
2026-08-18,ALL,targeted_audit,"Completed extended Gautier clause checks for 95 letters, raising every defensible short/complete item checked to A and reserving B for localized textual or prosopographical uncertainty.","Per-letter translation_v2 notes, regenerated master_concordance.csv, and sample_audit.md.",
2026-08-18,G009,extended_gautier_clause_audit,"Standardized `kanonikon` rather than flattening the fiscal/ecclesiastical due.; Corrected the final theological repayment clause: the addressee will have God as legislator and rewarder, not merely an abstract comparison discovered by the translator.",C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G009\translation_v2.md; 02_sources/gautier/letter_packets/G009_gautier.txt,
2026-08-18,G013,extended_gautier_clause_audit,"Corrected the Theotokos from Theophylact's guardian to the addressee's guardian.; Followed Gautier's `strougai` emendation: the fish shortage is tied to fish-channels, not small birds.",C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G013\translation_v2.md; 02_sources/gautier/letter_packets/G013_gautier.txt,
2026-08-18,G016,extended_gautier_clause_audit,Removed a false damaged-phrase marker in the closing sentence.; Corrected the exhortation: the addressee is to profit from the letter according to faith and relax both labor and threat for subordinates.,C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G016\translation_v2.md; 02_sources/gautier/letter_packets/G016_gautier.txt,
2026-08-18,G020,extended_gautier_clause_audit,Corrected the opening rhetorical question from self-deprecation to blessedness at benefiting a great soul.,C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G020\translation_v2.md; 02_sources/gautier/letter_packets/G020_gautier.txt,
2026-08-18,G021,extended_gautier_clause_audit,"Corrected `kainismos` as a change in affairs, not a sting.; Restored the Kritopouloi as the protected party; they are not generic judges.; Clarified `episkeptitai` as a technical office rather than flattening it to inspectors only.",C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G021\translation_v2.md; 02_sources/gautier/letter_packets/G021_gautier.txt,
2026-08-18,G024,extended_gautier_clause_audit,"Corrected the petition so Theophylact himself beseeches the powerful patron.; Corrected repeated `ekbole` language: the issue is the levy/dispatch of infantrymen, not expulsion.; Corrected the Theotokos clause: the addressee gives to her whatever he gives to Theophylact's church.",C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G024\translation_v2.md; 02_sources/gautier/letter_packets/G024_gautier.txt,
2026-08-18,G025,extended_gautier_clause_audit,Removed unsupported `holy antidote` language from the thanksgiving sentence.; Made the difficult throat-sound joke more literal and less architecturally inventive.,C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G025\translation_v2.md; 02_sources/gautier/letter_packets/G025_gautier.txt,
2026-08-18,G026,extended_gautier_clause_audit,"Corrected `praktikon`, `praktor`, `ospetion`, `aule`, and `zeugologion` terminology.; Changed the courtyard language to a farm/farmyard sense, following Gautier's note on `aule`.",C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G026\translation_v2.md; 02_sources/gautier/letter_packets/G026_gautier.txt,
2026-08-18,G028,extended_gautier_clause_audit,Checked the Demetrios/Smyrnaios pedagogical appeal against Gautier; no material correction required.,C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G028\translation_v2.md; 02_sources/gautier/letter_packets/G028_gautier.txt,
2026-08-18,G030,extended_gautier_clause_audit,Corrected the Charybdis/camp phrase.; Replaced unsupported `holy men of Serres` with Gautier's conjectural Hagiosergitai.,C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G030\translation_v2.md; 02_sources/gautier/letter_packets/G030_gautier.txt,
2026-08-18,G032,extended_gautier_clause_audit,Corrected the Euripidean opening.; Restored the technical title `katepano` and the dust-winnowing image.; Corrected the third oppressor from `Destroyer` to a Pharaoh-related name joke.; Corrected the Church property term from poor-house to poor little property.,C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G032\translation_v2.md; 02_sources/gautier/letter_packets/G032_gautier.txt,
2026-08-18,G033,extended_gautier_clause_audit,Corrected the healing-plaster paraphrase to the musical/incantatory contrast required by the Greek.,C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G033\translation_v2.md; 02_sources/gautier/letter_packets/G033_gautier.txt,
2026-08-18,G034,extended_gautier_clause_audit,"Corrected the cure sentence: Theophylact says he is far from contriving a cure, not that a costly cure must be contrived.; Corrected `private men` to `those who know` in the irony sentence.",C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G034\translation_v2.md; 02_sources/gautier/letter_packets/G034_gautier.txt,
2026-08-18,G043,extended_gautier_clause_audit,Checked the Jacob's-ladder ascent and stone/foe comparison against Gautier; no material correction required.,C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G043\translation_v2.md; 02_sources/gautier/letter_packets/G043_gautier.txt,
2026-08-18,G044,extended_gautier_clause_audit,Checked the love/letters/Jacob's-ladder argument and the admonition about lay and ecclesiastical order against Gautier.,C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G044\translation_v2.md; 02_sources/gautier/letter_packets/G044_gautier.txt,
2026-08-18,G046,extended_gautier_clause_audit,"Corrected the cooking/meteorological example: frying, roasting, and boiling, not flying.; Standardized Sarambos spelling.",C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G046\translation_v2.md; 02_sources/gautier/letter_packets/G046_gautier.txt,
2026-08-18,G048,extended_gautier_clause_audit,"Checked illness, Glavenitza/Vidin/Slanitza arrows, and Paieon/Machaon/Podaleirios allusions against Gautier.",C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G048\translation_v2.md; 02_sources/gautier/letter_packets/G048_gautier.txt,
2026-08-18,G049,extended_gautier_clause_audit,"Corrected the Autolykos/Odysseus joke: John rejects the name `negligent`, not his calling.; Preserved `dikaiomata` as a technical rights/claims term.",C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G049\translation_v2.md; 02_sources/gautier/letter_packets/G049_gautier.txt,
2026-08-18,G051,extended_gautier_clause_audit,Removed the false PG/OCR break marker; Gautier prints a complete short letter.,C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G051\translation_v2.md; 02_sources/gautier/letter_packets/G051_gautier.txt,
2026-08-18,G064,extended_gautier_clause_audit,"Corrected a false negative: the bishop is grateful after receiving the letters, not without receiving them.",C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G064\translation_v2.md; 02_sources/gautier/letter_packets/G064_gautier.txt,
2026-08-18,G065,extended_gautier_clause_audit,Checked the Taronites praise letter and military/administrative alternatives against Gautier.,C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G065\translation_v2.md; 02_sources/gautier/letter_packets/G065_gautier.txt,
2026-08-18,G070,extended_gautier_clause_audit,Checked the praise-as-oikonomia argument and the final greetings from Theophylact's brothers/students against Gautier.,C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G070\translation_v2.md; 02_sources/gautier/letter_packets/G070_gautier.txt,
2026-08-18,G071,extended_gautier_clause_audit,"Corrected the description of Theophylact's earlier life as quiet/simple, not useless.; Removed an unsupported shield image.; Corrected the horse-control phrase to coaxing/soothing rather than shouting down.",C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G071\translation_v2.md; 02_sources/gautier/letter_packets/G071_gautier.txt,
2026-08-18,G072,extended_gautier_clause_audit,Corrected the mutual-prayer phrase so the prayers are allies against those causing grief.; Corrected the closing thorn image from `those who fail` to afflictions/those causing grief.,C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G072\translation_v2.md; 02_sources/gautier/letter_packets/G072_gautier.txt,
2026-08-18,G076,extended_gautier_clause_audit,Corrected the Phoenix of Heliopolis image.; Restored the Dog-star/Sirius heat image.; Corrected `provocations and slanders` to the malefic astral appearances required by Gautier's note.,C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G076\translation_v2.md; 02_sources/gautier/letter_packets/G076_gautier.txt,
2026-08-18,G080,extended_gautier_clause_audit,"Checked the self-condemnation, nature/law/gospel argument, and Galatians/Ephesians allusions against Gautier.",C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G080\translation_v2.md; 02_sources/gautier/letter_packets/G080_gautier.txt,
2026-08-18,G083,extended_gautier_clause_audit,"Restored the missing `salt` in the closing triad: salt, light, and leaven.",C:\Users\aqua8\Documents\Codex\2026-08-18\this\work\github_staging\theophylact-letters-translated\revised_second_pass\letters\G083\translation_v2.md; 02_sources/gautier/letter_packets/G083_gautier.txt,
